Calcio Como	Atalanta	0:1	0:2	03.11.1985	00:00	1985	1986	9
AS Roma	Hellas Verona	1:1	2:1	03.11.1985	00:00	1985	1986	9
US Lecce	Udinese Calcio	1:0	2:0	03.11.1985	00:00	1985	1986	9
Inter	SSC Napoli	0:0	1:1	10.11.1985	00:00	1985	1986	10
Udinese Calcio	AC Milan	0:0	0:0	10.11.1985	00:00	1985	1986	10
Sampdoria	US Lecce	0:0	2:0	10.11.1985	00:00	1985	1986	10
Juventus	AS Roma	1:1	3:1	10.11.1985	00:00	1985	1986	10
Hellas Verona	ACF Fiorentina	1:1	2:2	10.11.1985	00:00	1985	1986	10
AS Bari	Atalanta	0:0	0:0	10.11.1985	00:00	1985	1986	10
US Avellino	Torino FC	0:0	0:0	10.11.1985	00:00	1985	1986	10
Pisa SC	Calcio Como	1:1	4:1	10.11.1985	00:00	1985	1986	10
US Lecce	US Avellino	1:1	2:2	24.11.1985	00:00	1985	1986	11
AS Roma	AC Milan	2:1	2:1	24.11.1985	00:00	1985	1986	11
SSC Napoli	Udinese Calcio	1:0	1:1	24.11.1985	00:00	1985	1986	11
Torino FC	Pisa SC	1:1	4:1	24.11.1985	00:00	1985	1986	11
Inter	Juventus	1:0	1:1	24.11.1985	00:00	1985	1986	11
ACF Fiorentina	AS Bari	0:0	0:0	24.11.1985	00:00	1985	1986	11
Atalanta	Hellas Verona	0:0	0:0	24.11.1985	00:00	1985	1986	11
Calcio Como	Sampdoria	1:2	2:2	24.11.1985	00:00	1985	1986	11
Juventus	ACF Fiorentina	1:0	1:0	01.12.1985	00:00	1985	1986	12
Udinese Calcio	Hellas Verona	1:1	5:1	01.12.1985	00:00	1985	1986	12
US Avellino	Atalanta	0:0	1:0	01.12.1985	00:00	1985	1986	12
Calcio Como	Torino FC	1:0	1:1	01.12.1985	00:00	1985	1986	12
AC Milan	Inter	1:1	2:2	01.12.1985	00:00	1985	1986	12
Pisa SC	US Lecce	1:0	3:0	01.12.1985	00:00	1985	1986	12
Sampdoria	AS Roma	1:0	1:0	01.12.1985	00:00	1985	1986	12
AS Bari	SSC Napoli	1:1	1:2	01.12.1985	00:00	1985	1986	12
Hellas Verona	AS Bari	1:0	2:0	08.12.1985	00:00	1985	1986	13
Atalanta	Udinese Calcio	1:0	1:1	08.12.1985	00:00	1985	1986	13
ACF Fiorentina	US Avellino	1:0	1:0	08.12.1985	00:00	1985	1986	13
Inter	Torino FC	1:2	3:3	08.12.1985	00:00	1985	1986	13
Juventus	Sampdoria	1:0	1:0	08.12.1985	00:00	1985	1986	13
US Lecce	Calcio Como	0:2	1:4	08.12.1985	00:00	1985	1986	13
SSC Napoli	AC Milan	0:0	2:0	08.12.1985	00:00	1985	1986	13
AS Roma	Pisa SC	1:0	1:0	08.12.1985	00:00	1985	1986	13
Udinese Calcio	ACF Fiorentina	2:1	2:2	15.12.1985	00:00	1985	1986	14
Torino FC	Atalanta	0:0	0:0	15.12.1985	00:00	1985	1986	14
Sampdoria	SSC Napoli	2:0	2:0	15.12.1985	00:00	1985	1986	14
Pisa SC	Hellas Verona	0:1	0:1	15.12.1985	00:00	1985	1986	14
AC Milan	Juventus	0:0	0:0	15.12.1985	00:00	1985	1986	14
US Lecce	AS Roma	0:0	0:3	15.12.1985	00:00	1985	1986	14
US Avellino	AS Bari	0:0	0:0	15.12.1985	00:00	1985	1986	14
Calcio Como	Inter	1:0	1:0	15.12.1985	00:00	1985	1986	14
Juventus	US Lecce	2:0	4:0	22.12.1985	00:00	1985	1986	15
Inter	Sampdoria	1:0	1:0	22.12.1985	00:00	1985	1986	15
Hellas Verona	Torino FC	1:0	1:0	22.12.1985	00:00	1985	1986	15
AS Roma	Calcio Como	0:0	0:0	22.12.1985	00:00	1985	1986	15
ACF Fiorentina	Pisa SC	1:0	1:1	22.12.1985	00:00	1985	1986	15
SSC Napoli	US Avellino	0:0	1:0	22.12.1985	00:00	1985	1986	15
AS Bari	Udinese Calcio	1:0	1:0	22.12.1985	00:00	1985	1986	15
Atalanta	AC Milan	0:0	1:1	22.12.1985	00:00	1985	1986	15
Sampdoria	ACF Fiorentina	1:1	2:2	05.01.1986	00:00	1985	1986	16
Torino FC	Udinese Calcio	1:0	2:0	05.01.1986	00:00	1985	1986	16
AS Roma	Atalanta	1:0	4:0	05.01.1986	00:00	1985	1986	16
Pisa SC	Inter	0:0	1:0	05.01.1986	00:00	1985	1986	16
US Lecce	Hellas Verona	1:0	1:0	05.01.1986	00:00	1985	1986	16
Calcio Como	SSC Napoli	0:0	1:1	05.01.1986	00:00	1985	1986	16
US Avellino	Juventus	0:0	0:0	05.01.1986	00:00	1985	1986	16
AC Milan	AS Bari	0:0	0:0	05.01.1986	00:00	1985	1986	16
Inter	Atalanta	0:2	1:3	12.01.1986	00:00	1985	1986	17
Hellas Verona	US Avellino	0:0	2:0	12.01.1986	00:00	1985	1986	17
Udinese Calcio	AS Roma	0:1	0:2	12.01.1986	00:00	1985	1986	17
SSC Napoli	Pisa SC	0:1	0:1	12.01.1986	00:00	1985	1986	17
AS Bari	Sampdoria	0:0	0:0	12.01.1986	00:00	1985	1986	17
Juventus	Calcio Como	0:0	0:0	12.01.1986	00:00	1985	1986	17
ACF Fiorentina	Torino FC	0:0	0:0	12.01.1986	00:00	1985	1986	17
US Lecce	AC Milan	0:0	0:2	12.01.1986	00:00	1985	1986	17
AC Milan	ACF Fiorentina	0:0	1:0	19.01.1986	00:00	1985	1986	18
Pisa SC	Juventus	1:0	1:1	19.01.1986	00:00	1985	1986	18
Torino FC	US Lecce	0:1	3:1	19.01.1986	00:00	1985	1986	18
AS Roma	AS Bari	1:1	2:1	19.01.1986	00:00	1985	1986	18
Sampdoria	Udinese Calcio	2:0	3:0	19.01.1986	00:00	1985	1986	18
US Avellino	Inter	0:0	1:0	19.01.1986	00:00	1985	1986	18
Calcio Como	Hellas Verona	1:0	1:0	19.01.1986	00:00	1985	1986	18
Atalanta	SSC Napoli	0:0	0:0	19.01.1986	00:00	1985	1986	18
AS Roma	SSC Napoli	1:0	2:0	26.01.1986	00:00	1985	1986	19
